ID;Codice;Configurazione;Tipo_Parete;Montante;Guida;Tipologia_Lastra;Spessore_Lastra_mm;Numero_Lati;Numero_Strati;Spessore_Totale_mm;Peso_kg_mq;Isolamento_Acustico_Rw_dB;Resistenza_Fuoco
69;p_singola-c75-impatto-6;Parete Singola;Parete;C 75/50;U 75/40;Alta resistenza;6;1;1;81;7.5;46;REI 30
70;p_singola-c75-impatto-9.5;Parete Singola;Parete;C 75/50;U 75/40;Alta resistenza;9.5;1;1;84.5;10.1;49;REI 30
71;p_singola-c75-impatto-12.5;Parete Singola;Parete;C 75/50;U 75/40;Alta resistenza;12.5;1;1;87.5;12.4;51;REI 30
72;p_singola-c75-impatto-15;Parete Singola;Parete;C 75/50;U 75/40;Alta resistenza;15;1;1;90;14.3;53;REI 30
73;p_singola-c75-impatto-18;Parete Singola;Parete;C 75/50;U 75/40;Alta resistenza;18;1;1;93;16.5;56;REI 30
74;p_singola-c75-impatto-25;Parete Singola;Parete;C 75/50;U 75/40;Alta resistenza;25;1;1;100;21.8;61;REI 30
75;p_singola-c75-fibra-6;Parete Singola;Parete;C 75/50;U 75/40;Fibrorinforzata;6;1;1;81;7.5;46;REI 30
76;p_singola-c75-fibra-9.5;Parete Singola;Parete;C 75/50;U 75/40;Fibrorinforzata;9.5;1;1;84.5;10.1;49;REI 30
77;p_singola-c75-fibra-12.5;Parete Singola;Parete;C 75/50;U 75/40;Fibrorinforzata;12.5;1;1;87.5;12.4;51;REI 30
78;p_singola-c75-fibra-15;Parete Singola;Parete;C 75/50;U 75/40;Fibrorinforzata;15;1;1;90;14.3;53;REI 30
79;p_singola-c75-fibra-18;Parete Singola;Parete;C 75/50;U 75/40;Fibrorinforzata;18;1;1;93;16.5;56;REI 30
80;p_singola-c75-fibra-25;Parete Singola;Parete;C 75/50;U 75/40;Fibrorinforzata;25;1;1;100;21.8;61;REI 30
81;p_singola-c75-combi-6;Parete Singola;Parete;C 75/50;U 75/40;Combinata;6;1;1;81;7.5;46;REI 45
82;p_singola-c75-combi-9.5;Parete Singola;Parete;C 75/50;U 75/40;Combinata;9.5;1;1;84.5;10.1;49;REI 45
83;p_singola-c75-combi-12.5;Parete Singola;Parete;C 75/50;U 75/40;Combinata;12.5;1;1;87.5;12.4;51;REI 45
84;p_singola-c75-combi-15;Parete Singola;Parete;C 75/50;U 75/40;Combinata;15;1;1;90;14.3;53;REI 60
85;p_singola-c75-combi-18;Parete Singola;Parete;C 75/50;U 75/40;Combinata;18;1;1;93;16.5;56;REI 60
86;p_singola-c75-combi-25;Parete Singola;Parete;C 75/50;U 75/40;Combinata;25;1;1;100;21.8;61;REI 60
87;p_singola-c100-std-6;Parete Singola;Parete;C 100/50;U 100/40;Standard;6;1;1;106;7.5;50;REI 30
88;p_singola-c100-std-9.5;Parete Singola;Parete;C 100/50;U 100/40;Standard;9.5;1;1;109.5;10.1;53;REI 30
89;p_singola-c100-std-12.5;Parete Singola;Parete;C 100/50;U 100/40;Standard;12.5;1;1;112.5;12.4;55;REI 30
90;p_singola-c100-std-15;Parete Singola;Parete;C 100/50;U 100/40;Standard;15;1;1;115;14.3;57;REI 30
91;p_singola-c100-std-18;Parete Singola;Parete;C 100/50;U 100/40;Standard;18;1;1;118;16.5;59;REI 30
92;p_singola-c100-std-25;Parete Singola;Parete;C 100/50;U 100/40;Standard;25;1;1;125;21.8;65;REI 30
93;p_singola-c100-h2o-6;Parete Singola;Parete;C 100/50;U 100/40;Idrofuga;6;1;1;106;7.5;50;REI 30
94;p_singola-c100-h2o-9.5;Parete Singola;Parete;C 100/50;U 100/40;Idrofuga;9.5;1;1;109.5;10.1;53;REI 30
95;p_singola-c100-h2o-12.5;Parete Singola;Parete;C 100/50;U 100/40;Idrofuga;12.5;1;1;112.5;12.4;55;REI 30
96;p_singola-c100-h2o-15;Parete Singola;Parete;C 100/50;U 100/40;Idrofuga;15;1;1;115;14.3;57;REI 30
97;p_singola-c100-h2o-18;Parete Singola;Parete;C 100/50;U 100/40;Idrofuga;18;1;1;118;16.5;59;REI 30
98;p_singola-c100-h2o-25;Parete Singola;Parete;C 100/50;U 100/40;Idrofuga;25;1;1;125;21.8;65;REI 30
99;p_singola-c100-fono-6;Parete Singola;Parete;C 100/50;U 100/40;Fonoisolante;6;1;1;106;7.5;55;REI 30
100;p_singola-c100-fono-9.5;Parete Singola;Parete;C 100/50;U 100/40;Fonoisolante;9.5;1;1;109.5;10.1;58;REI 30
101;p_singola-c100-fono-12.5;Parete Singola;Parete;C 100/50;U 100/40;Fonoisolante;12.5;1;1;112.5;12.4;60;REI 30
102;p_singola-c100-fono-15;Parete Singola;Parete;C 100/50;U 100/40;Fonoisolante;15;1;1;115;14.3;62;REI 30
103;p_singola-c100-fono-18;Parete Singola;Parete;C 100/50;U 100/40;Fonoisolante;18;1;1;118;16.5;64;REI 30
104;p_singola-c100-fono-25;Parete Singola;Parete;C 100/50;U 100/40;Fonoisolante;25;1;1;125;21.8;70;REI 30
105;p_singola-c100-fuoco-6;Parete Singola;Parete;C 100/50;U 100/40;Antifuoco;6;1;1;106;7.5;50;REI 45
106;p_singola-c100-fuoco-9.5;Parete Singola;Parete;C 100/50;U 100/40;Antifuoco;9.5;1;1;109.5;10.1;53;REI 45
107;p_singola-c100-fuoco-12.5;Parete Singola;Parete;C 100/50;U 100/40;Antifuoco;12.5;1;1;112.5;12.4;55;REI 45
108;p_singola-c100-fuoco-15;Parete Singola;Parete;C 100/50;U 100/40;Antifuoco;15;1;1;115;14.3;57;REI 60
109;p_singola-c100-fuoco-18;Parete Singola;Parete;C 100/50;U 100/40;Antifuoco;18;1;1;118;16.5;59;REI 60
110;p_singola-c100-fuoco-25;Parete Singola;Parete;C 100/50;U 100/40;Antifuoco;25;1;1;125;21.8;65;REI 60
111;p_singola-c100-flex-6;Parete Singola;Parete;C 100/50;U 100/40;Flessibile;6;1;1;106;7.5;50;REI 30
112;p_singola-c100-impatto-6;Parete Singola;Parete;C 100/50;U 100/40;Alta resistenza;6;1;1;106;7.5;50;REI 30
113;p_singola-c100-impatto-9.5;Parete Singola;Parete;C 100/50;U 100/40;Alta resistenza;9.5;1;1;109.5;10.1;53;REI 30
114;p_singola-c100-impatto-12.5;Parete Singola;Parete;C 100/50;U 100/40;Alta resistenza;12.5;1;1;112.5;12.4;55;REI 30
115;p_singola-c100-impatto-15;Parete Singola;Parete;C 100/50;U 100/40;Alta resistenza;15;1;1;115;14.3;57;REI 30
116;p_singola-c100-impatto-18;Parete Singola;Parete;C 100/50;U 100/40;Alta resistenza;18;1;1;118;16.5;59;REI 30
117;p_singola-c100-impatto-25;Parete Singola;Parete;C 100/50;U 100/40;Alta resistenza;25;1;1;125;21.8;65;REI 30
118;p_singola-c100-fibra-6;Parete Singola;Parete;C 100/50;U 100/40;Fibrorinforzata;6;1;1;106;7.5;50;REI 30
119;p_singola-c100-fibra-9.5;Parete Singola;Parete;C 100/50;U 100/40;Fibrorinforzata;9.5;1;1;109.5;10.1;53;REI 30
120;p_singola-c100-fibra-12.5;Parete Singola;Parete;C 100/50;U 100/40;Fibrorinforzata;12.5;1;1;112.5;12.4;55;REI 30
121;p_singola-c100-fibra-15;Parete Singola;Parete;C 100/50;U 100/40;Fibrorinforzata;15;1;1;115;14.3;57;REI 30
122;p_singola-c100-fibra-18;Parete Singola;Parete;C 100/50;U 100/40;Fibrorinforzata;18;1;1;118;16.5;59;REI 30
123;p_singola-c100-fibra-25;Parete Singola;Parete;C 100/50;U 100/40;Fibrorinforzata;25;1;1;125;21.8;65;REI 30
124;p_singola-c100-combi-6;Parete Singola;Parete;C 100/50;U 100/40;Combinata;6;1;1;106;7.5;50;REI 45
125;p_singola-c100-combi-9.5;Parete Singola;Parete;C 100/50;U 100/40;Combinata;9.5;1;1;109.5;10.1;53;REI 45
126;p_singola-c100-combi-12.5;Parete Singola;Parete;C 100/50;U 100/40;Combinata;12.5;1;1;112.5;12.4;55;REI 45
127;p_singola-c100-combi-15;Parete Singola;Parete;C 100/50;U 100/40;Combinata;15;1;1;115;14.3;57;REI 60
128;p_singola-c100-combi-18;Parete Singola;Parete;C 100/50;U 100/40;Combinata;18;1;1;118;16.5;59;REI 60
129;p_singola-c100-combi-25;Parete Singola;Parete;C 100/50;U 100/40;Combinata;25;1;1;125;21.8;65;REI 60
130;p_singola-c125-std-6;Parete Singola;Parete;C 125/50;U 125/40;Standard;6;1;1;131;7.5;54;REI 30
131;p_singola-c125-std-9.5;Parete Singola;Parete;C 125/50;U 125/40;Standard;9.5;1;1;134.5;10.1;56;REI 30
132;p_singola-c125-std-12.5;Parete Singola;Parete;C 125/50;U 125/40;Standard;12.5;1;1;137.5;12.4;59;REI 30
133;p_singola-c125-std-15;Parete Singola;Parete;C 125/50;U 125/40;Standard;15;1;1;140;14.3;61;REI 30
134;p_singola-c125-std-18;Parete Singola;Parete;C 125/50;U 125/40;Standard;18;1;1;143;16.5;63;REI 30
135;p_singola-c125-std-25;Parete Singola;Parete;C 125/50;U 125/40;Standard;25;1;1;150;21.8;69;REI 30
136;p_singola-c125-h2o-6;Parete Singola;Parete;C 125/50;U 125/40;Idrofuga;6;1;1;131;7.5;54;REI 30
137;p_singola-c125-h2o-9.5;Parete Singola;Parete;C 125/50;U 125/40;Idrofuga;9.5;1;1;134.5;10.1;56;REI 30
138;p_singola-c125-h2o-12.5;Parete Singola;Parete;C 125/50;U 125/40;Idrofuga;12.5;1;1;137.5;12.4;59;REI 30
139;p_singola-c125-h2o-15;Parete Singola;Parete;C 125/50;U 125/40;Idrofuga;15;1;1;140;14.3;61;REI 30
140;p_singola-c125-h2o-18;Parete Singola;Parete;C 125/50;U 125/40;Idrofuga;18;1;1;143;16.5;63;REI 30
141;p_singola-c125-h2o-25;Parete Singola;Parete;C 125/50;U 125/40;Idrofuga;25;1;1;150;21.8;69;REI 30
142;p_singola-c125-fono-6;Parete Singola;Parete;C 125/50;U 125/40;Fonoisolante;6;1;1;131;7.5;59;REI 30
143;p_singola-c125-fono-9.5;Parete Singola;Parete;C 125/50;U 125/40;Fonoisolante;9.5;1;1;134.5;10.1;61;REI 30
144;p_singola-c125-fono-12.5;Parete Singola;Parete;C 125/50;U 125/40;Fonoisolante;12.5;1;1;137.5;12.4;64;REI 30
145;p_singola-c125-fono-15;Parete Singola;Parete;C 125/50;U 125/40;Fonoisolante;15;1;1;140;14.3;66;REI 30
146;p_singola-c125-fono-18;Parete Singola;Parete;C 125/50;U 125/40;Fonoisolante;18;1;1;143;16.5;68;REI 30
147;p_singola-c125-fono-25;Parete Singola;Parete;C 125/50;U 125/40;Fonoisolante;25;1;1;150;21.8;74;REI 30
148;p_singola-c125-fuoco-6;Parete Singola;Parete;C 125/50;U 125/40;Antifuoco;6;1;1;131;7.5;54;REI 45
149;p_singola-c125-fuoco-9.5;Parete Singola;Parete;C 125/50;U 125/40;Antifuoco;9.5;1;1;134.5;10.1;56;REI 45
150;p_singola-c125-fuoco-12.5;Parete Singola;Parete;C 125/50;U 125/40;Antifuoco;12.5;1;1;137.5;12.4;59;REI 45
151;p_singola-c125-fuoco-15;Parete Singola;Parete;C 125/50;U 125/40;Antifuoco;15;1;1;140;14.3;61;REI 60
152;p_singola-c125-fuoco-18;Parete Singola;Parete;C 125/50;U 125/40;Antifuoco;18;1;1;143;16.5;63;REI 60
153;p_singola-c125-fuoco-25;Parete Singola;Parete;C 125/50;U 125/40;Antifuoco;25;1;1;150;21.8;69;REI 60
154;p_singola-c125-flex-6;Parete Singola;Parete;C 125/50;U 125/40;Flessibile;6;1;1;131;7.5;54;REI 30
155;p_singola-c125-impatto-6;Parete Singola;Parete;C 125/50;U 125/40;Alta resistenza;6;1;1;131;7.5;54;REI 30
156;p_singola-c125-impatto-9.5;Parete Singola;Parete;C 125/50;U 125/40;Alta resistenza;9.5;1;1;134.5;10.1;56;REI 30
157;p_singola-c125-impatto-12.5;Parete Singola;Parete;C 125/50;U 125/40;Alta resistenza;12.5;1;1;137.5;12.4;59;REI 30
158;p_singola-c125-impatto-15;Parete Singola;Parete;C 125/50;U 125/40;Alta resistenza;15;1;1;140;14.3;61;REI 30
159;p_singola-c125-impatto-18;Parete Singola;Parete;C 125/50;U 125/40;Alta resistenza;18;1;1;143;16.5;63;REI 30
160;p_singola-c125-impatto-25;Parete Singola;Parete;C 125/50;U 125/40;Alta resistenza;25;1;1;150;21.8;69;REI 30
161;p_singola-c125-fibra-6;Parete Singola;Parete;C 125/50;U 125/40;Fibrorinforzata;6;1;1;131;7.5;54;REI 30
162;p_singola-c125-fibra-9.5;Parete Singola;Parete;C 125/50;U 125/40;Fibrorinforzata;9.5;1;1;134.5;10.1;56;REI 30
163;p_singola-c125-fibra-12.5;Parete Singola;Parete;C 125/50;U 125/40;Fibrorinforzata;12.5;1;1;137.5;12.4;59;REI 30
164;p_singola-c125-fibra-15;Parete Singola;Parete;C 125/50;U 125/40;Fibrorinforzata;15;1;1;140;14.3;61;REI 30
165;p_singola-c125-fibra-18;Parete Singola;Parete;C 125/50;U 125/40;Fibrorinforzata;18;1;1;143;16.5;63;REI 30
166;p_singola-c125-fibra-25;Parete Singola;Parete;C 125/50;U 125/40;Fibrorinforzata;25;1;1;150;21.8;69;REI 30
167;p_singola-c125-combi-6;Parete Singola;Parete;C 125/50;U 125/40;Combinata;6;1;1;131;7.5;54;REI 45
168;p_singola-c125-combi-9.5;Parete Singola;Parete;C 125/50;U 125/40;Combinata;9.5;1;1;134.5;10.1;56;REI 45
169;p_singola-c125-combi-12.5;Parete Singola;Parete;C 125/50;U 125/40;Combinata;12.5;1;1;137.5;12.4;59;REI 45
170;p_singola-c125-combi-15;Parete Singola;Parete;C 125/50;U 125/40;Combinata;15;1;1;140;14.3;61;REI 60
171;p_singola-c125-combi-18;Parete Singola;Parete;C 125/50;U 125/40;Combinata;18;1;1;143;16.5;63;REI 60
172;p_singola-c125-combi-25;Parete Singola;Parete;C 125/50;U 125/40;Combinata;25;1;1;150;21.8;69;REI 60
173;p_singola-c150-std-6;Parete Singola;Parete;C 150/50;U 150/40;Standard;6;1;1;156;7.5;57;REI 30
174;p_singola-c150-std-9.5;Parete Singola;Parete;C 150/50;U 150/40;Standard;9.5;1;1;159.5;10.1;60;REI 30
175;p_singola-c150-std-12.5;Parete Singola;Parete;C 150/50;U 150/40;Standard;12.5;1;1;162.5;12.4;63;REI 30
176;p_singola-c150-std-15;Parete Singola;Parete;C 150/50;U 150/40;Standard;15;1;1;165;14.3;65;REI 30
177;p_singola-c150-std-18;Parete Singola;Parete;C 150/50;U 150/40;Standard;18;1;1;168;16.5;67;REI 30
178;p_singola-c150-std-25;Parete Singola;Parete;C 150/50;U 150/40;Standard;25;1;1;175;21.8;73;REI 30
179;p_singola-c150-h2o-6;Parete Singola;Parete;C 150/50;U 150/40;Idrofuga;6;1;1;156;7.5;57;REI 30
180;p_singola-c150-h2o-9.5;Parete Singola;Parete;C 150/50;U 150/40;Idrofuga;9.5;1;1;159.5;10.1;60;REI 30
181;p_singola-c150-h2o-12.5;Parete Singola;Parete;C 150/50;U 150/40;Idrofuga;12.5;1;1;162.5;12.4;63;REI 30
182;p_singola-c150-h2o-15;Parete Singola;Parete;C 150/50;U 150/40;Idrofuga;15;1;1;165;14.3;65;REI 30
183;p_singola-c150-h2o-18;Parete Singola;Parete;C 150/50;U 150/40;Idrofuga;18;1;1;168;16.5;67;REI 30
184;p_singola-c150-h2o-25;Parete Singola;Parete;C 150/50;U 150/40;Idrofuga;25;1;1;175;21.8;73;REI 30
185;p_singola-c150-fono-6;Parete Singola;Parete;C 150/50;U 150/40;Fonoisolante;6;1;1;156;7.5;62;REI 30
186;p_singola-c150-fono-9.5;Parete Singola;Parete;C 150/50;U 150/40;Fonoisolante;9.5;1;1;159.5;10.1;65;REI 30
187;p_singola-c150-fono-12.5;Parete Singola;Parete;C 150/50;U 150/40;Fonoisolante;12.5;1;1;162.5;12.4;68;REI 30
188;p_singola-c150-fono-15;Parete Singola;Parete;C 150/50;U 150/40;Fonoisolante;15;1;1;165;14.3;70;REI 30
189;p_singola-c150-fono-18;Parete Singola;Parete;C 150/50;U 150/40;Fonoisolante;18;1;1;168;16.5;72;REI 30
190;p_singola-c150-fono-25;Parete Singola;Parete;C 150/50;U 150/40;Fonoisolante;25;1;1;175;21.8;78;REI 30
191;p_singola-c150-fuoco-6;Parete Singola;Parete;C 150/50;U 150/40;Antifuoco;6;1;1;156;7.5;57;REI 45
192;p_singola-c150-fuoco-9.5;Parete Singola;Parete;C 150/50;U 150/40;Antifuoco;9.5;1;1;159.5;10.1;60;REI 45
193;p_singola-c150-fuoco-12.5;Parete Singola;Parete;C 150/50;U 150/40;Antifuoco;12.5;1;1;162.5;12.4;63;REI 45
194;p_singola-c150-fuoco-15;Parete Singola;Parete;C 150/50;U 150/40;Antifuoco;15;1;1;165;14.3;65;REI 60
195;p_singola-c150-fuoco-18;Parete Singola;Parete;C 150/50;U 150/40;Antifuoco;18;1;1;168;16.5;67;REI 60
196;p_singola-c150-fuoco-25;Parete Singola;Parete;C 150/50;U 150/40;Antifuoco;25;1;1;175;21.8;73;REI 60
197;p_singola-c150-flex-6;Parete Singola;Parete;C 150/50;U 150/40;Flessibile;6;1;1;156;7.5;57;REI 30
198;p_singola-c150-impatto-6;Parete Singola;Parete;C 150/50;U 150/40;Alta resistenza;6;1;1;156;7.5;57;REI 30
199;p_singola-c150-impatto-9.5;Parete Singola;Parete;C 150/50;U 150/40;Alta resistenza;9.5;1;1;159.5;10.1;60;REI 30
200;p_singola-c150-impatto-12.5;Parete Singola;Parete;C 150/50;U 150/40;Alta resistenza;12.5;1;1;162.5;12.4;63;REI 30
201;p_singola-c150-impatto-15;Parete Singola;Parete;C 150/50;U 150/40;Alta resistenza;15;1;1;165;14.3;65;REI 30
202;p_singola-c150-impatto-18;Parete Singola;Parete;C 150/50;U 150/40;Alta resistenza;18;1;1;168;16.5;67;REI 30
203;p_singola-c150-impatto-25;Parete Singola;Parete;C 150/50;U 150/40;Alta resistenza;25;1;1;175;21.8;73;REI 30
204;p_singola-c150-fibra-6;Parete Singola;Parete;C 150/50;U 150/40;Fibrorinforzata;6;1;1;156;7.5;57;REI 30
205;p_singola-c150-fibra-9.5;Parete Singola;Parete;C 150/50;U 150/40;Fibrorinforzata;9.5;1;1;159.5;10.1;60;REI 30
206;p_singola-c150-fibra-12.5;Parete Singola;Parete;C 150/50;U 150/40;Fibrorinforzata;12.5;1;1;162.5;12.4;63;REI 30
